epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2165.53,1.17419,0.90425,1.23644,0.91614,0.85149,0.92179,0.70941,0.86963,0.57194,1.0245,0.00118369,0.00118369,0.00118369
43,2216.13,1.18801,0.89995,1.23195,0.91797,0.86001,0.92161,0.716,0.86042,0.55088,1.02286,0.0011719,0.0011719,0.0011719
44,2266.83,1.16706,0.89082,1.22384,0.92127,0.85364,0.92456,0.71747,0.85015,0.54926,1.01694,0.00116011,0.00116011,0.00116011
45,2317.46,1.18246,0.89345,1.23352,0.92897,0.85417,0.92749,0.72143,0.85864,0.55078,1.01693,0.00114832,0.00114832,0.00114832
46,2368.45,1.1589,0.86937,1.21927,0.92418,0.85372,0.92045,0.72411,0.83019,0.53117,1.01804,0.00113654,0.00113654,0.00113654
47,2419.44,1.13535,0.84809,1.21341,0.93288,0.84346,0.92397,0.72343,0.85382,0.54772,1.02458,0.00112475,0.00112475,0.00112475
48,2470.15,1.17571,0.87075,1.23129,0.91755,0.857,0.92606,0.71965,0.85312,0.54611,1.01377,0.00111296,0.00111296,0.00111296
49,2521.05,1.14922,0.86863,1.21621,0.923,0.86341,0.93256,0.72959,0.83015,0.52795,1.01107,0.00110117,0.00110117,0.00110117
50,2571.96,1.1483,0.85839,1.21772,0.9128,0.86133,0.92812,0.7309,0.82645,0.52402,1.01241,0.00108938,0.00108938,0.00108938
51,2622.76,1.14558,0.85388,1.21276,0.93312,0.85636,0.92777,0.73182,0.82511,0.52438,1.01058,0.0010776,0.0010776,0.0010776
52,2673.73,1.15079,0.85727,1.22152,0.93103,0.85372,0.9288,0.72854,0.83995,0.52966,1.01522,0.00106581,0.00106581,0.00106581
53,2724.63,1.12094,0.84571,1.19827,0.90948,0.87611,0.93196,0.73525,0.81575,0.5168,1.00488,0.00105402,0.00105402,0.00105402
54,2775.52,1.11336,0.82789,1.18884,0.92482,0.85828,0.93077,0.7339,0.82062,0.52368,1.00493,0.00104223,0.00104223,0.00104223
55,2826.22,1.1217,0.83761,1.20244,0.93266,0.85906,0.93466,0.74261,0.81826,0.51986,1.00182,0.00103044,0.00103044,0.00103044
56,2877.04,1.11276,0.83252,1.19863,0.93091,0.86438,0.9326,0.73872,0.81357,0.50997,1.00037,0.00101866,0.00101866,0.00101866
57,2927.8,1.09212,0.80065,1.17703,0.93228,0.86703,0.93308,0.74399,0.80525,0.50461,1.00047,0.00100687,0.00100687,0.00100687
58,2978.6,1.11437,0.82641,1.19501,0.93531,0.86619,0.93202,0.74094,0.80476,0.50326,0.99928,0.00099508,0.00099508,0.00099508
59,3029.23,1.11615,0.81922,1.19452,0.94078,0.86256,0.93462,0.74249,0.81086,0.51091,0.99754,0.000983292,0.000983292,0.000983292
60,3080.08,1.09316,0.78731,1.18009,0.93411,0.86676,0.93454,0.73992,0.81711,0.50775,0.99848,0.000971504,0.000971504,0.000971504
61,3130.69,1.07221,0.78549,1.17312,0.92058,0.87034,0.93448,0.74558,0.80668,0.49902,0.99715,0.000959716,0.000959716,0.000959716
62,3181.75,1.08884,0.79266,1.177,0.92438,0.86918,0.93435,0.738,0.81222,0.50191,0.99268,0.000947928,0.000947928,0.000947928
63,3232.6,1.09893,0.79997,1.18068,0.91555,0.87163,0.9348,0.74094,0.80299,0.50014,0.99386,0.00093614,0.00093614,0.00093614
64,3283.55,1.08922,0.7999,1.18234,0.92587,0.87124,0.93684,0.74747,0.80032,0.49871,0.99007,0.000924352,0.000924352,0.000924352
65,3334.44,1.07907,0.78548,1.17488,0.93023,0.87318,0.93721,0.74928,0.7972,0.48993,0.99363,0.000912563,0.000912563,0.000912563
66,3385.56,1.08508,0.79334,1.17418,0.93439,0.86862,0.93552,0.74982,0.79346,0.48985,0.98488,0.000900775,0.000900775,0.000900775
67,3436.56,1.08203,0.79192,1.17151,0.93948,0.86145,0.93471,0.74856,0.78752,0.48932,0.99037,0.000888987,0.000888987,0.000888987
68,3487.38,1.08611,0.7935,1.16779,0.92342,0.87204,0.93701,0.75315,0.78761,0.4864,0.98614,0.000877199,0.000877199,0.000877199
69,3538.21,1.07638,0.79607,1.17411,0.9184,0.87256,0.9357,0.75121,0.78999,0.48899,0.98988,0.000865411,0.000865411,0.000865411
70,3588.8,1.07386,0.78305,1.1674,0.92941,0.87513,0.9383,0.75405,0.78734,0.47964,0.98343,0.000853623,0.000853623,0.000853623
71,3639.73,1.06442,0.75789,1.15898,0.93578,0.87348,0.9397,0.75545,0.78745,0.48198,0.98282,0.000841835,0.000841835,0.000841835
72,3690.42,1.06037,0.75723,1.154,0.92268,0.87916,0.93831,0.75188,0.78909,0.47751,0.98487,0.000830047,0.000830047,0.000830047
73,3741.23,1.07848,0.7838,1.16858,0.93238,0.8779,0.94059,0.75875,0.77945,0.47615,0.98381,0.000818259,0.000818259,0.000818259
74,3792.24,1.06408,0.76083,1.16276,0.93649,0.8792,0.93887,0.75569,0.78278,0.47751,0.98439,0.000806471,0.000806471,0.000806471
75,3842.85,1.05291,0.75126,1.14997,0.9342,0.87632,0.94,0.75726,0.78454,0.47401,0.98064,0.000794683,0.000794683,0.000794683
76,3893.68,1.05909,0.76193,1.1544,0.92659,0.87849,0.93957,0.76016,0.77571,0.47194,0.976,0.000782895,0.000782895,0.000782895
77,3944.52,1.03091,0.73993,1.1464,0.92893,0.8823,0.94071,0.76298,0.7687,0.46225,0.97317,0.000771107,0.000771107,0.000771107
78,3995.34,1.04156,0.7486,1.14856,0.93416,0.8763,0.94112,0.75804,0.7746,0.47136,0.97468,0.000759318,0.000759318,0.000759318
79,4046.21,1.03979,0.74663,1.14886,0.93101,0.88648,0.94242,0.76439,0.76121,0.45961,0.97215,0.00074753,0.00074753,0.00074753
80,4097.16,1.03619,0.74145,1.14461,0.9276,0.8831,0.94149,0.75901,0.7706,0.4679,0.97102,0.000735742,0.000735742,0.000735742
81,4147.9,1.03183,0.73342,1.13656,0.93486,0.87868,0.94292,0.76208,0.77059,0.46868,0.96982,0.000723954,0.000723954,0.000723954
82,4198.55,1.01403,0.71615,1.12909,0.92574,0.88886,0.94312,0.76538,0.75987,0.4631,0.96876,0.000712166,0.000712166,0.000712166
83,4249.36,1.03325,0.73437,1.14249,0.93161,0.88403,0.94326,0.76147,0.77229,0.46511,0.97861,0.000700378,0.000700378,0.000700378
84,4299.99,1.0188,0.72327,1.13339,0.92494,0.88856,0.94311,0.76324,0.76233,0.45759,0.972,0.00068859,0.00068859,0.00068859
85,4350.74,1.00487,0.70765,1.12369,0.93711,0.873,0.94258,0.76395,0.76494,0.45855,0.97264,0.000676802,0.000676802,0.000676802
86,4401.57,1.00603,0.71104,1.12548,0.92892,0.88549,0.94402,0.7634,0.76668,0.4583,0.97176,0.000665014,0.000665014,0.000665014
87,4452.23,1.01194,0.70722,1.13034,0.92893,0.88686,0.94344,0.76733,0.75758,0.45493,0.97187,0.000653226,0.000653226,0.000653226
88,4503.02,0.99925,0.70619,1.1278,0.92994,0.8852,0.94323,0.76523,0.76747,0.45238,0.97441,0.000641438,0.000641438,0.000641438
89,4553.7,0.99979,0.70338,1.12037,0.93938,0.88456,0.94529,0.76913,0.76352,0.44948,0.97313,0.00062965,0.00062965,0.00062965
90,4604.68,0.99559,0.70474,1.1187,0.93064,0.87733,0.94381,0.7664,0.75968,0.45227,0.97381,0.000617862,0.000617862,0.000617862
91,4655.38,0.99975,0.70853,1.12302,0.92218,0.88618,0.94273,0.77086,0.7522,0.44526,0.96831,0.000606074,0.000606074,0.000606074
92,4706.39,1.00513,0.70575,1.12674,0.92826,0.89097,0.9461,0.77078,0.76023,0.44331,0.97405,0.000594286,0.000594286,0.000594286
93,4757.07,0.98538,0.6815,1.11043,0.92178,0.89223,0.94517,0.77105,0.75291,0.43991,0.96553,0.000582497,0.000582497,0.000582497
94,4808,1.00333,0.69545,1.11861,0.92862,0.89201,0.94529,0.77006,0.75478,0.44608,0.97033,0.000570709,0.000570709,0.000570709
95,4858.85,0.98218,0.6809,1.11274,0.93293,0.88793,0.94528,0.76833,0.75683,0.44123,0.97106,0.000558921,0.000558921,0.000558921
96,4909.56,0.98116,0.67344,1.10438,0.93423,0.88731,0.94581,0.77274,0.75057,0.43623,0.96506,0.000547133,0.000547133,0.000547133
97,4960.64,0.9805,0.68239,1.10997,0.93948,0.88035,0.94566,0.76928,0.76307,0.44335,0.97161,0.000535345,0.000535345,0.000535345
98,5011.44,0.98087,0.68304,1.10574,0.92954,0.89356,0.9445,0.76978,0.75196,0.44261,0.96685,0.000523557,0.000523557,0.000523557
99,5062.21,0.9847,0.68488,1.10706,0.92836,0.89506,0.94667,0.7719,0.75602,0.44048,0.96792,0.000511769,0.000511769,0.000511769
100,5112.84,0.98454,0.68951,1.11389,0.93552,0.88769,0.94472,0.76949,0.75721,0.44053,0.96852,0.000499981,0.000499981,0.000499981
101,5163.52,0.96053,0.66749,1.09936,0.93607,0.89068,0.94699,0.77089,0.75501,0.43609,0.96511,0.000488193,0.000488193,0.000488193
102,5214.28,0.9805,0.68568,1.10779,0.92743,0.89356,0.94802,0.77303,0.75092,0.43695,0.96781,0.000476405,0.000476405,0.000476405
103,5265.23,0.96875,0.66645,1.0975,0.92807,0.88958,0.94729,0.77525,0.74465,0.43606,0.96384,0.000464617,0.000464617,0.000464617
104,5316.16,0.98259,0.67574,1.10574,0.93648,0.88621,0.94837,0.77712,0.74554,0.43355,0.96341,0.000452829,0.000452829,0.000452829
105,5366.96,0.9699,0.66878,1.1015,0.93784,0.88988,0.94923,0.77849,0.74548,0.43153,0.95947,0.000441041,0.000441041,0.000441041
106,5417.89,0.95396,0.66198,1.08898,0.93048,0.89658,0.94842,0.77933,0.74283,0.43161,0.96192,0.000429253,0.000429253,0.000429253
107,5468.81,0.96757,0.68028,1.10827,0.93742,0.88273,0.94718,0.77481,0.74365,0.43046,0.96233,0.000417464,0.000417464,0.000417464
108,5519.67,0.95681,0.65765,1.08989,0.93971,0.88854,0.94739,0.77631,0.7458,0.42766,0.962,0.000405676,0.000405676,0.000405676
109,5570.6,0.95593,0.66202,1.08846,0.93232,0.89365,0.94775,0.77788,0.74152,0.4268,0.95924,0.000393888,0.000393888,0.000393888
110,5621.17,0.95623,0.6488,1.09123,0.93335,0.89508,0.94943,0.77755,0.74372,0.42839,0.95994,0.0003821,0.0003821,0.0003821
111,5672.04,0.97703,0.67897,1.09915,0.92243,0.90012,0.94776,0.77695,0.75482,0.43289,0.96268,0.000370312,0.000370312,0.000370312
112,5722.92,0.94493,0.64837,1.09129,0.92684,0.89669,0.94802,0.77862,0.7437,0.4278,0.95774,0.000358524,0.000358524,0.000358524
113,5773.66,0.94607,0.64503,1.0863,0.93108,0.89341,0.94838,0.78048,0.73752,0.42152,0.95514,0.000346736,0.000346736,0.000346736
114,5824.56,0.94606,0.64284,1.08781,0.93269,0.89351,0.94866,0.77933,0.73845,0.4233,0.95996,0.000334948,0.000334948,0.000334948
115,5875.32,0.95827,0.65631,1.10046,0.93961,0.88668,0.94471,0.77603,0.74349,0.42701,0.95956,0.00032316,0.00032316,0.00032316
116,5926.18,0.94367,0.64561,1.09288,0.93655,0.89653,0.94863,0.78041,0.73307,0.42115,0.9586,0.000311372,0.000311372,0.000311372
117,5977.05,0.92517,0.62401,1.0762,0.93526,0.89685,0.94863,0.78136,0.73035,0.41918,0.95596,0.000299584,0.000299584,0.000299584
118,6027.9,0.93611,0.63797,1.08751,0.93359,0.89331,0.94775,0.78057,0.73022,0.42219,0.95637,0.000287796,0.000287796,0.000287796
119,6078.63,0.94705,0.64575,1.09375,0.93867,0.89464,0.94971,0.78255,0.72882,0.42084,0.95575,0.000276008,0.000276008,0.000276008
120,6129.6,0.93838,0.63426,1.08613,0.93552,0.89069,0.94986,0.78323,0.73218,0.4205,0.95841,0.00026422,0.00026422,0.00026422
121,6180.73,0.92458,0.6308,1.0778,0.94054,0.88953,0.95058,0.78435,0.73136,0.41864,0.95925,0.000252431,0.000252431,0.000252431
122,6231.75,0.92998,0.63085,1.07789,0.93364,0.8889,0.94702,0.77828,0.73032,0.42169,0.95779,0.000240643,0.000240643,0.000240643
123,6282.65,0.9097,0.61658,1.06814,0.94262,0.88866,0.9509,0.78172,0.72936,0.41618,0.95647,0.000228855,0.000228855,0.000228855
124,6333.48,0.91096,0.61574,1.06638,0.94118,0.88681,0.95036,0.78265,0.72714,0.41523,0.95541,0.000217067,0.000217067,0.000217067
125,6384.4,0.91372,0.62618,1.07475,0.93657,0.88376,0.94712,0.77924,0.72982,0.41778,0.95693,0.000205279,0.000205279,0.000205279
126,6435.41,0.92888,0.62527,1.07577,0.93469,0.88541,0.94637,0.77759,0.73012,0.41501,0.95712,0.000193491,0.000193491,0.000193491
127,6486.29,0.90949,0.61449,1.06752,0.94027,0.88682,0.94905,0.77915,0.73053,0.41447,0.9603,0.000181703,0.000181703,0.000181703
128,6537.23,0.90917,0.61707,1.06698,0.92737,0.89815,0.95038,0.78175,0.72657,0.41063,0.95723,0.000169915,0.000169915,0.000169915
129,6588.12,0.91948,0.62103,1.07393,0.93073,0.8997,0.94738,0.77621,0.73068,0.4132,0.95954,0.000158127,0.000158127,0.000158127
130,6638.83,0.89209,0.60051,1.05814,0.93987,0.88837,0.94968,0.7802,0.72819,0.40976,0.95739,0.000146339,0.000146339,0.000146339
131,6691.16,0.77798,0.4581,0.97833,0.93123,0.89314,0.94415,0.77334,0.73271,0.42487,0.95741,0.000134551,0.000134551,0.000134551
132,6741.69,0.78539,0.46002,0.98658,0.9319,0.89052,0.94035,0.76991,0.73834,0.42884,0.95929,0.000122763,0.000122763,0.000122763
133,6792.05,0.75379,0.44279,0.97699,0.93375,0.8934,0.94322,0.77159,0.73645,0.42227,0.95848,0.000110975,0.000110975,0.000110975
134,6842.45,0.74611,0.43868,0.96479,0.93023,0.89904,0.94314,0.77258,0.73382,0.42345,0.95864,9.91865e-05,9.91865e-05,9.91865e-05
135,6892.91,0.74699,0.43699,0.96722,0.92832,0.8979,0.94303,0.77255,0.73323,0.42107,0.95878,8.73984e-05,8.73984e-05,8.73984e-05
136,6943.34,0.75109,0.44204,0.97036,0.92679,0.89861,0.9449,0.77364,0.73193,0.41868,0.95793,7.56104e-05,7.56104e-05,7.56104e-05
137,6993.82,0.74239,0.43556,0.97121,0.92704,0.89816,0.94499,0.77404,0.73171,0.41901,0.95996,6.38223e-05,6.38223e-05,6.38223e-05
138,7044.04,0.74962,0.43298,0.96958,0.93765,0.88774,0.94447,0.77519,0.73298,0.41651,0.96118,5.20342e-05,5.20342e-05,5.20342e-05
139,7094.49,0.74156,0.43356,0.96889,0.93894,0.88804,0.94446,0.77383,0.73145,0.41709,0.96001,4.02461e-05,4.02461e-05,4.02461e-05
140,7144.83,0.73056,0.43072,0.96229,0.93579,0.89366,0.94553,0.77588,0.7323,0.41599,0.95927,2.84581e-05,2.84581e-05,2.84581e-05
