epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6536,1.15111,0.81846,1.16649,0.91862,0.86043,0.91854,0.70291,0.88411,0.54863,1.02308,0.001667,0.001667,0.001667
2,103.903,1.14904,0.81669,1.17078,0.92121,0.86131,0.92658,0.71905,0.86466,0.52567,1.00969,0.00163033,0.00163033,0.00163033
3,144.091,1.13008,0.8081,1.16032,0.93085,0.84175,0.92162,0.71281,0.8578,0.52375,1.00105,0.00159365,0.00159365,0.00159365
4,184.598,1.1043,0.78352,1.13899,0.91933,0.8597,0.92541,0.7146,0.87147,0.531,1.00817,0.00155698,0.00155698,0.00155698
5,224.627,1.10585,0.79489,1.14751,0.93259,0.85472,0.92623,0.70894,0.88767,0.54028,1.01941,0.0015203,0.0015203,0.0015203
6,264.774,1.10347,0.78587,1.1435,0.90474,0.84337,0.89992,0.69795,0.85722,0.53813,1.01056,0.00148363,0.00148363,0.00148363
7,305.071,1.09832,0.77327,1.1427,0.92217,0.86535,0.92902,0.72333,0.85085,0.50711,1.00343,0.00144696,0.00144696,0.00144696
8,345.353,1.1161,0.77909,1.15018,0.93289,0.85012,0.9261,0.72085,0.85578,0.51923,1.00025,0.00141028,0.00141028,0.00141028
9,385.846,1.09517,0.77074,1.14277,0.93732,0.85624,0.92888,0.72694,0.84621,0.49876,0.99719,0.00137361,0.00137361,0.00137361
10,426.43,1.07703,0.74961,1.12864,0.94144,0.85372,0.9337,0.73386,0.82617,0.49453,0.99099,0.00133693,0.00133693,0.00133693
11,466.956,1.06926,0.74449,1.12525,0.93777,0.85814,0.93156,0.73361,0.82858,0.49986,0.99716,0.00130026,0.00130026,0.00130026
12,507.174,1.0734,0.74232,1.12554,0.92366,0.86103,0.927,0.7308,0.82178,0.49835,0.99631,0.00126359,0.00126359,0.00126359
13,547.346,1.06162,0.74188,1.11928,0.92045,0.87481,0.93146,0.73208,0.83533,0.49694,0.99139,0.00122691,0.00122691,0.00122691
14,587.727,1.08605,0.75859,1.13362,0.92999,0.87087,0.93323,0.7363,0.83263,0.48805,0.9909,0.00119024,0.00119024,0.00119024
15,627.954,1.05912,0.7353,1.12004,0.93125,0.86415,0.93468,0.73112,0.84355,0.494,0.99776,0.00115356,0.00115356,0.00115356
16,667.919,1.05969,0.72907,1.11865,0.9265,0.8685,0.93118,0.74414,0.80255,0.47395,0.98718,0.00111689,0.00111689,0.00111689
17,708.225,1.04354,0.71937,1.11197,0.93964,0.86932,0.93646,0.74665,0.80306,0.47827,0.97748,0.00108022,0.00108022,0.00108022
18,748.65,1.05213,0.7344,1.12263,0.92905,0.86539,0.93198,0.7417,0.80332,0.48708,0.98602,0.00104354,0.00104354,0.00104354
19,788.827,1.04472,0.71468,1.11243,0.92867,0.87211,0.93225,0.74107,0.80852,0.47976,0.98541,0.00100687,0.00100687,0.00100687
20,829.09,1.04119,0.7162,1.10529,0.91952,0.87782,0.93519,0.74864,0.78987,0.47094,0.97182,0.000970194,0.000970194,0.000970194
21,869.532,1.02681,0.70428,1.09724,0.93471,0.8712,0.93688,0.75095,0.7873,0.46549,0.98142,0.00093352,0.00093352,0.00093352
22,910.073,1.04184,0.71503,1.10769,0.93582,0.8747,0.9387,0.74952,0.79757,0.46378,0.97475,0.000896846,0.000896846,0.000896846
23,950.186,1.03676,0.70681,1.11075,0.93476,0.86555,0.93553,0.75009,0.7975,0.47084,0.9818,0.000860172,0.000860172,0.000860172
24,990.597,1.02533,0.69499,1.09702,0.92373,0.88255,0.93634,0.75048,0.79344,0.47181,0.9782,0.000823498,0.000823498,0.000823498
25,1030.65,1.00785,0.68041,1.09149,0.93173,0.87815,0.93653,0.75202,0.78749,0.46156,0.97205,0.000786824,0.000786824,0.000786824
26,1071.14,1.01393,0.68667,1.09207,0.93502,0.87145,0.93281,0.74753,0.78724,0.46854,0.97325,0.00075015,0.00075015,0.00075015
27,1111.49,0.99978,0.66597,1.08008,0.93718,0.86671,0.93568,0.75421,0.77944,0.46229,0.97021,0.000713476,0.000713476,0.000713476
28,1151.96,0.996,0.67929,1.08879,0.93983,0.86559,0.93803,0.75058,0.78649,0.45975,0.97472,0.000676802,0.000676802,0.000676802
29,1191.99,0.99563,0.67232,1.0876,0.93253,0.881,0.93859,0.75124,0.77779,0.45171,0.96973,0.000640128,0.000640128,0.000640128
30,1232.27,1.01043,0.68737,1.09034,0.92424,0.88509,0.94062,0.75795,0.7664,0.44937,0.96888,0.000603454,0.000603454,0.000603454
31,1272.55,0.99877,0.67208,1.08691,0.93644,0.87522,0.937,0.75329,0.77321,0.44902,0.97391,0.00056678,0.00056678,0.00056678
32,1312.79,0.97902,0.65951,1.07686,0.92457,0.88333,0.94087,0.75916,0.77342,0.44748,0.97432,0.000530106,0.000530106,0.000530106
33,1353.01,0.97492,0.65592,1.07566,0.93306,0.88372,0.94164,0.75853,0.76681,0.44418,0.97116,0.000493432,0.000493432,0.000493432
34,1393.3,0.96855,0.64136,1.06539,0.93477,0.88249,0.94105,0.75988,0.76757,0.44013,0.96787,0.000456758,0.000456758,0.000456758
35,1433.52,0.95812,0.63684,1.06518,0.93095,0.89006,0.94163,0.76253,0.76175,0.4405,0.96809,0.000420084,0.000420084,0.000420084
36,1475.24,0.81481,0.47505,0.97759,0.93209,0.88413,0.93813,0.75536,0.77469,0.44368,0.96703,0.00038341,0.00038341,0.00038341
37,1515.07,0.81744,0.47884,0.98099,0.92516,0.87959,0.93932,0.75942,0.76557,0.44418,0.97172,0.000346736,0.000346736,0.000346736
38,1554.81,0.79854,0.4749,0.97208,0.93031,0.87998,0.94094,0.76133,0.76801,0.44002,0.96679,0.000310062,0.000310062,0.000310062
39,1594.75,0.78912,0.46098,0.96675,0.93529,0.8807,0.94294,0.76694,0.75904,0.4334,0.96789,0.000273388,0.000273388,0.000273388
40,1634.71,0.78665,0.45979,0.96173,0.93645,0.88267,0.94189,0.76505,0.75217,0.43173,0.961,0.000236714,0.000236714,0.000236714
41,1674.46,0.77793,0.44898,0.96461,0.93039,0.87968,0.94246,0.76777,0.76139,0.43291,0.96587,0.00020004,0.00020004,0.00020004
42,1714.29,0.76948,0.44352,0.96046,0.92717,0.88899,0.94286,0.7708,0.74819,0.42725,0.96072,0.000163366,0.000163366,0.000163366
43,1754.07,0.78085,0.44629,0.96105,0.93575,0.88087,0.94261,0.76712,0.7458,0.42716,0.95964,0.000126692,0.000126692,0.000126692
44,1794.09,0.76401,0.43887,0.95666,0.93136,0.88533,0.94172,0.76836,0.74334,0.42633,0.96052,9.0018e-05,9.0018e-05,9.0018e-05
45,1833.78,0.756,0.43251,0.95109,0.93016,0.88722,0.94257,0.76768,0.74203,0.42286,0.9586,5.3344e-05,5.3344e-05,5.3344e-05
